"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Navbar atualizada no Storybook","0","2","","0"
"0","","0","Breadcrumb com SEO no Storybook","0","2","","0"
"0","","0","Campo UF com estratégia de fallback","0","3","","0"
